scenario,mejor_tiempo,peor_tiempo,promedio_tiempo,mejor_costo,peor_costo,promedio_costo,mejor_utilidad,peor_utilidad,promedio_utilidad
A1,0.6230765030943975,2.8510980216728465,1.3508129329159149,2606232.213175662,3021816.5373969693,2862419.570690348,6631081.049979498,3980197.42350048,5141689.356386732
A2,0.5095138785237225,0.7100889145999613,0.5949111685191782,1617072.0025325587,2293113.085586369,1958069.1947587344,3556886.914413631,1111220.6748034018,2142965.130751156
B1,0.9938188769090556,1.491442430699585,1.208663160409913,855920.8334324954,1070087.0692466076,962672.2504059018,10282471.362908684,5326226.972434104,7747772.97667776
B2,1.097544729913102,2.47538729010359,1.5275716878509686,620784.4769839442,816315.3166090433,712276.4092092093,4783684.683390956,1229215.5230160558,3065493.995378144
C,0.8154853255497001,1.187135963080911,0.9984922486249548,1834893.70788282,2126685.773330756,1994829.0758674885,9456742.55125783,4724699.0963551765,6879995.536040384
