scenario,delivered_mean,delivered_std,pending_mean,delivery_time_mean,delivery_time_std,cost_mean,cost_std,profit_mean,profit_std
A1,178.28,6.7580523282430445,28.848,1.352241357691999,0.35621822501182293,2862510.671606422,58866.80554242873,5141489.3283935785,430850.7797530935
A2,90.988,9.3389009562727,0.609,0.5949634750519444,0.03305620792621095,1958149.8246910889,106553.30110677647,2142640.175308911,401639.0241956267
B1,193.67,15.16776717784002,5.332,1.208619711233586,0.07456863266130558,962557.7544511816,37418.78111532042,7749442.245548818,725880.4561563692
B2,83.84,10.077497504636556,4.74,1.5273632384118871,0.1391897238336171,712305.0426798891,25126.057550238245,3067194.957320111,476616.263638486
C,197.737,14.727278218453124,5.189,0.9983955112852676,0.06225984377185704,1994821.6404117134,45371.52124268455,6880588.359588287,693908.1447321691
